,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"1,1,1",dummyguide_1,dummyguide_1,dummyguide_1,24.31,21.48,35.87,59.62,28.1,40.77
"1,1,2",dummyguide_1,dummyguide_1,dummyguide_2,23.31,29.67,37.12,39.61,39.26,91.77
"1,1,3",dummyguide_1,dummyguide_1,CDK4_3,23.26,11.41,18.58,96.22,43.83,18.62
"1,1,4",dummyguide_1,dummyguide_1,CDK4_2,44.96,51.54,65.29,82.7,49.43,133.42
"1,1,5",dummyguide_1,dummyguide_1,DNMT1_1,35.14,27.78,64.34,42.92,33.66,42.96
"1,1,6",dummyguide_1,dummyguide_1,DNMT1_2,24.39,15.2,3.55,10.15,12.19,11.08
"1,1,7",dummyguide_1,dummyguide_1,EGFR_1,27.13,17.23,16.09,27.89,22.5,32.19
"1,1,8",dummyguide_1,dummyguide_1,EGFR_2,34.45,32.14,27.94,40.83,34.54,36.73
"1,1,9",dummyguide_1,dummyguide_1,ERBB2_1,40.12,41.95,55.85,92.06,47.76,41.62
"1,1,10",dummyguide_1,dummyguide_1,ERBB2_2,50.87,47.59,52.75,68.85,35.33,72.92
"1,1,11",dummyguide_1,dummyguide_1,HDAC1_1,49.83,53.31,68.12,63.12,56.7,70.23
"1,1,12",dummyguide_1,dummyguide_1,HDAC1_2,33.32,28.9,23.64,26.81,39.11,48.65
"1,1,13",dummyguide_1,dummyguide_1,IKBKB_1,43.51,43.35,56.68,57.39,39.21,72.85
"1,1,14",dummyguide_1,dummyguide_1,IKBKB_2,17.83,18.54,18.16,25.7,21.13,42.19
"1,1,15",dummyguide_1,dummyguide_1,MAP2K1_1,35.63,42.39,30.02,39.91,27.27,55.88
"1,1,16",dummyguide_1,dummyguide_1,MAP2K1_2,31.54,28.36,15.33,35.1,23.68,13.23
"1,1,17",dummyguide_1,dummyguide_1,MTOR_1,14.14,12.07,4.8,2.46,,
"1,1,18",dummyguide_1,dummyguide_1,MTOR_2,19.44,10.78,10.27,1.8,18.97,2.85
"1,1,19",dummyguide_1,dummyguide_1,POLA1_1,42.4,15.97,10.23,11.52,25.99,13.54
"1,1,20",dummyguide_1,dummyguide_1,POLA1_2,20.17,4.48,1.13,13.13,8.75,2.5
"1,1,21",dummyguide_1,dummyguide_1,TOP1_1,36.81,12.19,10.27,2.49,2.8,2.19
"1,1,22",dummyguide_1,dummyguide_1,TOP1_2,28.66,25.53,28.17,13,22.5,16.5
"1,1,23",dummyguide_1,dummyguide_1,TUBA1A_1,48.32,72.87,71.41,64.33,110.89,153.58
"1,1,24",dummyguide_1,dummyguide_1,TUBA1A_2,38.72,20.03,15.71,31.66,27.81,13.62
"1,1,25",dummyguide_1,dummyguide_1,TYMS_1,23.26,16.95,7.17,5.73,14.15,9.15
"1,1,26",dummyguide_1,dummyguide_1,TYMS_3,32.97,27.52,36.89,26.55,39.95,41.35
"1,1,27",dummyguide_1,dummyguide_1,FGF2_1,25.22,16.95,14.24,49.4,35.08,61.73
"1,1,28",dummyguide_1,dummyguide_1,FGF2_2,18.15,8.98,16.95,11.56,19.01,32.38
"1,1,29",dummyguide_1,dummyguide_1,PIK3C3_1,32.64,18.25,58.94,24.23,33.21,26
"1,1,30",dummyguide_1,dummyguide_1,PIK3C3_2,50.52,40.43,28.74,41.25,63.28,55.15
"1,1,31",dummyguide_1,dummyguide_1,TGFB1_1,25.17,33.57,34.1,65.54,54.73,57.88
"1,1,32",dummyguide_1,dummyguide_1,TGFB1_2,22.24,20.64,17.94,37.13,33.07,42.62
"1,2,1",dummyguide_1,dummyguide_2,dummyguide_1,40.6,41.95,72.35,109.05,68.05,113.46
"1,2,2",dummyguide_1,dummyguide_2,dummyguide_2,45.44,20.8,31.95,32.77,34.49,52.65
"1,2,3",dummyguide_1,dummyguide_2,CDK4_3,52.68,46.41,48.6,60.5,66.92,78.54
"1,2,4",dummyguide_1,dummyguide_2,CDK4_2,42.86,44.79,65.82,52.25,31.15,69.38
"1,2,5",dummyguide_1,dummyguide_2,DNMT1_1,61.52,47.27,76.01,66.69,73.16,82.04
"1,2,6",dummyguide_1,dummyguide_2,DNMT1_2,57.27,69.68,75.11,112.33,85.39,116.46
"1,2,7",dummyguide_1,dummyguide_2,EGFR_1,36.6,47.41,59.55,99.04,52.72,162.19
"1,2,8",dummyguide_1,dummyguide_2,EGFR_2,54.42,72.89,102.41,131.35,97.04,112.38
"1,2,9",dummyguide_1,dummyguide_2,ERBB2_1,69.94,107.04,92.7,143.2,88.83,98.19
"1,2,10",dummyguide_1,dummyguide_2,ERBB2_2,58.16,101.47,107.62,155.22,77.43,81.08
"1,2,11",dummyguide_1,dummyguide_2,HDAC1_1,67.95,78.99,106.9,126.5,99.79,137.85
"1,2,12",dummyguide_1,dummyguide_2,HDAC1_2,51.28,29.65,40.37,25.41,34.69,35.69
"1,2,13",dummyguide_1,dummyguide_2,IKBKB_1,55.42,60.48,82.7,65.74,76.3,88
"1,2,14",dummyguide_1,dummyguide_2,IKBKB_2,38.37,37.02,47.09,54.18,46.19,44.12
"1,2,15",dummyguide_1,dummyguide_2,MAP2K1_1,49.99,33.43,71.1,70.68,59.6,86.85
"1,2,16",dummyguide_1,dummyguide_2,MAP2K1_2,48.54,56.91,57.7,155.68,87.31,168.23
"1,2,17",dummyguide_1,dummyguide_2,MTOR_1,47.3,57.21,40.18,34.83,57.04,56.35
"1,2,18",dummyguide_1,dummyguide_2,MTOR_2,36.09,28.39,8.99,6.84,9.58,11.5
"1,2,19",dummyguide_1,dummyguide_2,POLA1_1,73.35,50.86,24.39,42.17,47.12,52.04
"1,2,20",dummyguide_1,dummyguide_2,POLA1_2,24.52,10.53,17.03,30.97,9.38,13.92
"1,2,21",dummyguide_1,dummyguide_2,TOP1_1,30.3,14.14,5.4,1.31,6.78,0.69
"1,2,22",dummyguide_1,dummyguide_2,TOP1_2,54.88,29.58,38.44,4.98,34.88,9.96
"1,2,23",dummyguide_1,dummyguide_2,TUBA1A_1,62.73,64.98,115.66,152.53,95.91,117.58
"1,2,24",dummyguide_1,dummyguide_2,TUBA1A_2,38.51,25.98,38.7,67.57,40.34,32.88
"1,2,25",dummyguide_1,dummyguide_2,TYMS_1,32.43,28.41,43.69,69.31,49.43,32.42
"1,2,26",dummyguide_1,dummyguide_2,TYMS_3,48.02,65.43,45.84,32.71,77.93,60.85
"1,2,27",dummyguide_1,dummyguide_2,FGF2_1,59.08,47.17,103.46,162.03,92.52,135.38
"1,2,28",dummyguide_1,dummyguide_2,FGF2_2,47.84,47.32,75.29,125.85,80.38,119.5
"1,2,29",dummyguide_1,dummyguide_2,PIK3C3_1,40.41,34.05,25.07,44.75,37.14,66.62
"1,2,30",dummyguide_1,dummyguide_2,PIK3C3_2,45.85,25.77,38.14,21.18,48.49,29.73
"1,2,31",dummyguide_1,dummyguide_2,TGFB1_1,33.1,51.23,41.73,71.63,40.88,52.92
"1,2,32",dummyguide_1,dummyguide_2,TGFB1_2,36.3,21.27,38.7,45.05,24.66,43.96
"1,3,1",dummyguide_1,CDK4_3,dummyguide_1,25.46,14.99,31.61,40.14,20.59,26.69
"1,3,2",dummyguide_1,CDK4_3,dummyguide_2,25.52,47.59,71.52,35.75,36.7,72.77
"1,3,3",dummyguide_1,CDK4_3,CDK4_3,48.21,50.33,54.15,46.03,73.01,86.42
"1,3,4",dummyguide_1,CDK4_3,CDK4_2,20.97,39.49,41.65,70.59,47.81,106.65
"1,3,5",dummyguide_1,CDK4_3,DNMT1_1,54.8,93.51,95.61,130.92,97.14,105.15
"1,3,6",dummyguide_1,CDK4_3,DNMT1_2,25.22,33.82,44.86,24.26,27.76,37.69
"1,3,7",dummyguide_1,CDK4_3,EGFR_1,27.51,70.12,81.79,70.45,86.47,103.31
"1,3,8",dummyguide_1,CDK4_3,EGFR_2,31.97,39.7,48.75,96.94,40.04,78.42
"1,3,9",dummyguide_1,CDK4_3,ERBB2_1,33.53,42.71,41.99,39.35,33.51,36.08
"1,3,10",dummyguide_1,CDK4_3,ERBB2_2,51.33,59.1,72.73,68.13,87.31,104.62
"1,3,11",dummyguide_1,CDK4_3,HDAC1_1,35.09,40.5,44.78,42.82,46.19,34.31
"1,3,12",dummyguide_1,CDK4_3,HDAC1_2,25.28,15.15,14.95,14.44,23.78,10.85
"1,3,13",dummyguide_1,CDK4_3,IKBKB_1,34.85,45.66,62.38,53.23,51.59,45.85
"1,3,14",dummyguide_1,CDK4_3,IKBKB_2,37.64,28.27,44.26,24.88,40.93,34.04
"1,3,15",dummyguide_1,CDK4_3,MAP2K1_1,46.73,57.63,79.67,128.08,79.35,140.69
"1,3,16",dummyguide_1,CDK4_3,MAP2K1_2,27.91,28.43,31.83,63.48,43.38,60.69
"1,3,17",dummyguide_1,CDK4_3,MTOR_1,17.42,19.28,1.81,,10.51,10.77
"1,3,18",dummyguide_1,CDK4_3,MTOR_2,27.67,21.22,9.29,8.45,11.55,6.58
"1,3,19",dummyguide_1,CDK4_3,POLA1_1,21.05,11.46,1.85,,0.59,9.12
"1,3,20",dummyguide_1,CDK4_3,POLA1_2,27.29,20.94,25.49,31.99,8.25,8
"1,3,21",dummyguide_1,CDK4_3,TOP1_1,42.7,22.15,,,,9.58
"1,3,22",dummyguide_1,CDK4_3,TOP1_2,28.37,37.21,18.16,14.11,11.84,3
"1,3,23",dummyguide_1,CDK4_3,TUBA1A_1,36.46,48.02,76.65,73.4,59.8,75.35
"1,3,24",dummyguide_1,CDK4_3,TUBA1A_2,19.25,14.38,13.71,17.81,10.71,9.62
"1,3,25",dummyguide_1,CDK4_3,TYMS_1,24.93,42.95,73.18,54.84,46.33,42.58
"1,3,26",dummyguide_1,CDK4_3,TYMS_3,34.71,56.12,66.57,32.61,38.77,58.46
"1,3,27",dummyguide_1,CDK4_3,FGF2_1,39.18,26.1,30.89,12.8,20.64,24.5
"1,3,28",dummyguide_1,CDK4_3,FGF2_2,33.32,49.56,47.58,39.09,45.64,62.5
